gameid,player,champion,ally_win,player_wr,t_bint,is_main_h,mastery_points,smurf_count_a,smurf_count_e,hotstreak_count_a,hotstreak_count_e,4fun,veteran_count_a,veteran_count_e,inters_count_a,inters_count_e,break_count_a,break_count_e,a_sum_a,a_sum_e,d_sum_a,d_sum_e,m_sum_a,m_sum_e,wr_med_a,wr_min_a,wr_max_a,wr_med_e,wr_min_e,wr_max_e,max_med_kd_a,max_med_kd_e,4fun_a,4fun_e
NA1_3940684844,WaffleStomper,Senna,True,0.5252918287937743,0.07965257311741498,False,37774,1,0,1,2,False,0,0,0,3,143094.0,77814.0,38,28,22,17,15,19,0.4953271028037383,0.47342995169082125,0.5252918287937743,0.4912891986062718,0.45161290322580644,0.5575539568345323,5.333333333333333,1.125,0,0
NA1_3940599486,WaffleStomper,Senna,True,0.5252918287937743,0.07965257311741498,False,37774,1,0,0,1,False,0,0,0,1,147874.0,124793.0,34,30,14,17,21,29,0.515,0.49333333333333335,0.5260545905707196,0.5142857142857142,0.48502994011976047,0.5331010452961672,5.333333333333333,2.125,0,0
NA1_3940633067,WaffleStomper,Senna,False,0.5252918287937743,0.07965257311741498,False,37774,1,0,0,0,False,0,0,0,2,71687.0,414026.0,27,31,30,30,31,22,0.5056726094003241,0.48120300751879697,0.5852272727272727,0.49489795918367346,0.3888888888888889,0.5355191256830601,5.333333333333333,0.6666666666666666,0,0
NA1_3940609884,WaffleStomper,Brand,False,0.5252918287937743,0.07965257311741498,False,26984,1,0,0,0,False,0,0,0,0,142472.0,339234.0,24,28,17,19,30,23,0.5087281795511222,0.49615384615384617,0.603448275862069,0.4728682170542636,0.42105263157894735,0.4881889763779528,5.333333333333333,2.3333333333333335,0,0
NA1_3939570552,WaffleStomper,Brand,False,0.5252918287937743,0.07965257311741498,False,26984,1,0,1,1,False,0,0,1,2,613390.0,106006.0,22,33,24,23,34,22,0.5060240963855421,0.4444444444444444,0.5252918287937743,0.48223350253807107,0.4166666666666667,0.5202702702702703,5.333333333333333,1.9,0,0
NA1_3940626218,sporty101010,Darius,True,0.5127118644067796,0.07173777247257275,False,111137,0,0,3,0,False,0,0,1,2,51913.0,842592.0,33,33,24,20,22,21,0.48028673835125446,0.4594594594594595,0.5127118644067796,0.4588235294117647,0.3939393939393939,0.5050847457627119,2.25,1.6428571428571428,0,1
NA1_3940589433,hwahkeen,Kayn,False,0.5444839857651246,0.1092517246895017,False,49004,0,0,1,0,False,0,0,1,0,45391.0,75869.0,38,23,19,20,20,34,0.5079617834394905,0.4657534246575342,0.551829268292683,0.48854961832061067,0.47368421052631576,0.5142857142857142,3.5,2.125,0,0
NA1_3940222275,hwahkeen,Akali,False,0.5444839857651246,0.1092517246895017,False,13536,0,1,3,0,False,0,1,0,0,57341.0,158003.0,31,23,25,20,29,23,0.5317460317460317,0.5,0.551948051948052,0.4873417721518987,0.46352941176470586,0.5357142857142857,3.0,10.0,0,1
NA1_3940170615,hwahkeen,Akali,False,0.5444839857651246,0.1092517246895017,False,13536,0,0,1,4,False,1,0,0,0,50005.0,57341.0,28,31,21,25,33,28,0.5127118644067796,0.49038461538461536,0.5444839857651246,0.5284810126582279,0.4928909952606635,0.551948051948052,4.0,3.0,0,0
NA1_3939957648,TipzyGamer,Yasuo,True,0.5036764705882353,0.1411374600450171,False,111134,0,0,0,0,False,0,0,1,1,61785.0,166865.0,38,37,21,20,23,22,0.5036764705882353,0.4523809523809524,0.5412541254125413,0.4888888888888889,0.4756756756756757,0.5152671755725191,1.4285714285714286,1.625,0,0
NA1_3939940068,TipzyGamer,DrMundo,True,0.5036764705882353,0.1411374600450171,False,12488,0,0,1,0,False,0,0,1,1,82910.0,153231.0,24,26,21,33,30,21,0.506578947368421,0.4644808743169399,0.5333333333333333,0.5118829981718465,0.47619047619047616,0.51953125,1.625,3.2857142857142856,0,0
NA1_3939742525,TipzyGamer,Mordekaiser,False,0.5036764705882353,0.1411374600450171,False,171074,0,1,0,2,False,0,1,2,0,82910.0,80884.0,22,27,26,21,32,33,0.5125,0.3984375,0.5895522388059702,0.5217391304347826,0.48758465011286684,0.5555555555555556,1.8333333333333333,5.666666666666667,0,1
NA1_3939633837,TipzyGamer,Mordekaiser,True,0.5036764705882353,0.1411374600450171,False,171074,0,0,3,0,False,0,0,1,0,254083.0,170355.0,28,29,22,26,24,30,0.5036764705882353,0.492,0.5333333333333333,0.47282608695652173,0.43103448275862066,0.506578947368421,2.7777777777777777,2.0,0,0
NA1_3939499209,TipzyGamer,Yasuo,False,0.5036764705882353,0.1411374600450171,False,111134,0,0,0,4,False,0,0,3,1,96008.0,581892.0,30,26,26,17,25,24,0.5285087719298246,0.5,0.5288461538461539,0.5194805194805194,0.4863013698630137,0.5972222222222222,1.6,4.2,0,0
NA1_3940388318,Daiinaki,Caitlyn,True,0.5138888888888888,0.07592186032702794,False,972,0,0,0,0,False,0,0,1,0,108823.0,5597.0,28,20,25,23,26,32,0.5138888888888888,0.46932515337423314,0.5392156862745098,0.4918032786885246,0.425,0.5072463768115942,1.6,3.25,0,0
NA1_3939282674,Daiinaki,Jinx,True,0.5138888888888888,0.07592186032702794,False,13788,0,0,1,1,False,0,0,0,3,146908.0,186986.0,36,32,20,25,23,22,0.5138888888888888,0.5020661157024794,0.5399239543726235,0.49206349206349204,0.3783783783783784,0.5041958041958042,1.75,2.6,0,0
NA1_3940696093,OGHushy,Blitzcrank,True,0.4982078853046595,0.06907956790348299,False,34921,0,0,0,0,False,0,0,1,2,56773.0,56920.0,29,37,29,22,26,23,0.5019685039370079,0.4982078853046595,0.5358649789029536,0.48951048951048953,0.4476987447698745,0.5052264808362369,2.6666666666666665,1.6666666666666667,0,0
NA1_3939299478,xNoway005,DrMundo,False,0.5108695652173914,0.1203934316961186,True,6133,0,0,1,0,True,1,0,3,1,84872.0,93417.0,26,31,22,22,33,30,0.5108695652173914,0.49347568208778175,0.527027027027027,0.4866666666666667,0.45161290322580644,0.5154639175257731,3.0,3.3636363636363638,2,1
NA1_3939123808,xNoway005,DrMundo,True,0.5108695652173914,0.1203934316961186,True,6133,0,0,1,1,True,0,1,3,0,84872.0,120753.0,32,30,24,15,22,30,0.5079365079365079,0.4876712328767123,0.5114942528735632,0.5163043478260869,0.4929411764705882,0.5199306759098787,3.7142857142857144,3.0,1,0
NA1_3940534104,RentalSandwich,Nocturne,True,0.47410358565737054,0.038754387883210326,False,434279,0,0,1,0,False,1,0,1,1,60369.0,58453.0,28,26,20,24,24,28,0.5196261682242991,0.47410358565737054,0.5412371134020618,0.4796380090497738,0.4418604651162791,0.49321266968325794,2.4545454545454546,1.0,0,0
NA1_3939941601,RentalSandwich,DrMundo,False,0.47410358565737054,0.038754387883210326,False,9519,0,0,0,1,False,1,1,2,1,170620.0,79107.0,29,37,18,19,17,17,0.4647887323943662,0.4444444444444444,0.4879518072289157,0.5020080321285141,0.5,0.5280898876404494,1.6666666666666667,2.875,0,0
NA1_3938716588,RentalSandwich,Nocturne,False,0.47410358565737054,0.038754387883210326,False,434279,0,1,0,2,False,1,0,3,0,84773.0,51783.0,29,21,29,22,22,36,0.488659793814433,0.47410358565737054,0.562874251497006,0.5,0.49693251533742333,0.5337423312883436,1.125,7.0,0,0
NA1_3938722269,RentalSandwich,DrMundo,False,0.47410358565737054,0.038754387883210326,False,9519,1,0,0,0,False,1,0,1,1,269813.0,89057.0,28,35,25,24,25,26,0.4883720930232558,0.47410358565737054,0.5039370078740157,0.517175572519084,0.49049429657794674,0.5384615384615384,6.666666666666667,1.7142857142857142,0,0
NA1_3938613410,RentalSandwich,Nami,False,0.47410358565737054,0.038754387883210326,False,239,0,1,0,1,False,1,0,1,0,60369.0,27701.0,34,26,23,22,23,29,0.47410358565737054,0.4375,0.782608695652174,0.46483836777954424,0.44144144144144143,0.48823529411764705,3.0,6.25,0,0
NA1_3939572503,PickleTwitch,Twitch,False,0.4807692307692308,0.0676855915582842,True,110711,0,1,1,0,False,0,0,0,2,85695.0,17960.0,30,33,24,25,25,19,0.48484848484848486,0.4375,0.625,0.49874686716791977,0.4423076923076923,0.5203761755485894,3.0,6.333333333333333,1,0
NA1_3939462751,PickleTwitch,Twitch,True,0.4807692307692308,0.0676855915582842,True,110711,0,0,1,0,False,0,0,0,2,157836.0,84640.0,18,29,21,26,21,29,0.4870967741935484,0.4807692307692308,0.536,0.49101796407185627,0.3707865168539326,0.5694444444444444,1.8888888888888888,1.6,0,0
NA1_3938823049,PickleTwitch,Twitch,False,0.4807692307692308,0.0676855915582842,True,110711,0,0,0,0,False,0,0,2,0,858811.0,36330.0,35,27,14,23,26,28,0.5014957264957265,0.44761904761904764,0.536,0.49,0.35714285714285715,0.5143824027072758,2.8,1.5833333333333333,2,0
NA1_3938292961,PickleTwitch,Twitch,False,0.4807692307692308,0.0676855915582842,True,110711,0,0,0,1,False,0,1,1,0,244424.0,269616.0,37,24,18,16,22,33,0.5050505050505051,0.4807692307692308,0.5331412103746398,0.5025125628140703,0.4797047970479705,0.5351351351351351,0.7142857142857143,2.75,0,0
NA1_3940145808,CaseRace,Leona,False,0.5061124694376528,0.08766810261611784,False,513950,0,0,2,0,False,1,0,0,0,68332.0,214178.0,35,36,25,22,18,19,0.5061124694376528,0.38144329896907214,0.512249443207127,0.49755301794453505,0.4768211920529801,0.503968253968254,2.272727272727273,2.1666666666666665,0,1
NA1_3940086598,CaseRace,Thresh,False,0.5061124694376528,0.08766810261611784,False,121861,0,0,0,1,False,1,0,0,0,86053.0,170348.0,37,32,21,17,22,24,0.5,0.4808510638297872,0.5061728395061729,0.4846938775510204,0.40816326530612246,0.5179786200194364,2.272727272727273,4.25,0,1
NA1_3939414092,CaseRace,Zac,False,0.5061124694376528,0.08766810261611784,False,2898,0,1,0,1,False,1,0,1,0,259211.0,87913.0,29,23,23,18,31,23,0.49504950495049505,0.4166666666666667,0.5061124694376528,0.5020242914979757,0.46745562130177515,0.5102040816326531,2.1666666666666665,5.4,0,0
NA1_3940327407,Vurx,LeeSin,True,0.49825783972125437,0.07489100180420086,True,8097,0,0,1,2,False,0,0,2,1,96485.0,51344.0,38,30,23,23,14,28,0.5042735042735043,0.48412698412698413,0.5196078431372549,0.5,0.4,0.5381526104417671,1.6666666666666667,2.5,0,0
