gameid,player
NA1_3940521263,Habibeast
NA1_3941825579,TheFam
NA1_3941830260,TheFam
NA1_3941523423,TheFam
NA1_3941482854,TheFam
NA1_3941451025,TheFam
NA1_3942373093,Omenofone
NA1_3942285644,Omenofone
NA1_3941714091,Omenofone
NA1_3941688529,Omenofone
NA1_3940712638,Omenofone
NA1_3941184390,plzkillme
NA1_3941162105,plzkillme
NA1_3941088851,plzkillme
NA1_3941096163,plzkillme
NA1_3941082765,plzkillme
NA1_3941843321,CainStriker
NA1_3941759310,CainStriker
NA1_3941716085,CainStriker
NA1_3941512340,CainStriker
NA1_3941495195,CainStriker
NA1_3940725682,JaoBT
NA1_3940712638,JaoBT
NA1_3940582503,JaoBT
NA1_3940531121,JaoBT
NA1_3940054720,JaoBT
NA1_3942559972,CandyCoatedLies
NA1_3942546183,CandyCoatedLies
NA1_3942543575,CandyCoatedLies
NA1_3942514107,CandyCoatedLies
NA1_3941904002,CandyCoatedLies
NA1_3942414026,chuntingLOL
NA1_3942409786,chuntingLOL
NA1_3942071242,chuntingLOL
NA1_3941758257,chuntingLOL
NA1_3941762645,chuntingLOL
NA1_3941824897,Lucylle
NA1_3941721574,Lucylle
NA1_3941111378,Lucylle
NA1_3941072685,Lucylle
NA1_3940712638,Lucylle
NA1_3940756279,Gonwooka
NA1_3940772041,Gonwooka
NA1_3940717159,Gonwooka
NA1_3940712638,Gonwooka
NA1_3940599815,Gonwooka
NA1_3940499842,smurfacc001
NA1_3935391344,smurfacc001
NA1_3935298552,smurfacc001
NA1_3935294507,smurfacc001
NA1_3932986834,smurfacc001
NA1_3942029940,Akalimemaybe
NA1_3941881755,Akalimemaybe
NA1_3941786516,Akalimemaybe
NA1_3941821284,Akalimemaybe
NA1_3941766361,Akalimemaybe
NA1_3942065899,Zolaroid
NA1_3941884120,Zolaroid
NA1_3941726848,Zolaroid
NA1_3941695856,Zolaroid
NA1_3941663280,Zolaroid
NA1_3942358143,GingerSkilz
NA1_3942343580,GingerSkilz
NA1_3942258954,GingerSkilz
NA1_3942073057,GingerSkilz
NA1_3941927019,GingerSkilz
NA1_3941874213,No1ahbeng
NA1_3941788593,No1ahbeng
NA1_3941558835,No1ahbeng
NA1_3941516092,No1ahbeng
NA1_3941347656,No1ahbeng
NA1_3942579759,ironwotan
NA1_3942526750,ironwotan
NA1_3942535088,ironwotan
NA1_3942485022,ironwotan
NA1_3942522221,ironwotan
NA1_3941898084,MiniCanada
NA1_3941694925,MiniCanada
NA1_3941650668,MiniCanada
NA1_3941558258,MiniCanada
NA1_3941555403,MiniCanada
NA1_3940629402,Keknician
NA1_3940643340,Keknician
NA1_3940610894,Keknician
NA1_3940526675,Keknician
NA1_3940550717,Keknician
NA1_3941677495,XersGeNeRaLP
NA1_3941682801,XersGeNeRaLP
NA1_3940673643,XersGeNeRaLP
NA1_3940629402,XersGeNeRaLP
NA1_3938469621,XersGeNeRaLP
NA1_3942572244,Spankdaddy
NA1_3942539045,Spankdaddy
NA1_3941805481,Spankdaddy
NA1_3941768452,Spankdaddy
NA1_3941724601,Spankdaddy
NA1_3941018373,evwjebi
NA1_3940865384,evwjebi
NA1_3940638977,evwjebi
NA1_3940596840,evwjebi
NA1_3940454972,evwjebi
NA1_3941812203,Imbel
NA1_3941727968,Imbel
NA1_3941732108,Imbel
NA1_3941705087,Imbel
NA1_3941661517,Imbel
NA1_3941727968,Kaboombox
NA1_3941732108,Kaboombox
NA1_3941705087,Kaboombox
NA1_3941661517,Kaboombox
NA1_3941331565,Kaboombox
NA1_3941136114,RSW2002
NA1_3941037089,RSW2002
NA1_3940596840,RSW2002
NA1_3940509576,RSW2002
NA1_3938964871,RSW2002
NA1_3940596840,ASTROBOY99ROFL
NA1_3931745798,ASTROBOY99ROFL
NA1_3931386658,ASTROBOY99ROFL
NA1_3900717522,ASTROBOY99ROFL
NA1_3900713045,ASTROBOY99ROFL
NA1_3941752825,unlimitedgrass
NA1_3941371026,unlimitedgrass
NA1_3940596840,unlimitedgrass
NA1_3940644325,unlimitedgrass
NA1_3940621068,unlimitedgrass
NA1_3942334467,na7erat0r
NA1_3942267797,na7erat0r
NA1_3942274058,na7erat0r
NA1_3941578828,na7erat0r
NA1_3941610530,na7erat0r
NA1_3941697426,LearnitMaster
NA1_3940770181,LearnitMaster
NA1_3940677021,LearnitMaster
NA1_3940722133,LearnitMaster
NA1_3940639122,LearnitMaster
NA1_3942498434,ILostYourLane
NA1_3942515821,ILostYourLane
NA1_3942541259,ILostYourLane
NA1_3941794246,ILostYourLane
NA1_3941756112,ILostYourLane
NA1_3940645544,FreezeFrame
NA1_3940594201,FreezeFrame
NA1_3940539671,FreezeFrame
NA1_3940567014,FreezeFrame
NA1_3940572242,FreezeFrame
NA1_3940549446,burningfiremoon
NA1_3940554777,burningfiremoon
NA1_3933473318,burningfiremoon
NA1_3911048236,burningfiremoon
NA1_3911042096,burningfiremoon
NA1_3942455191,ouniso
NA1_3942413252,ouniso
NA1_3942410978,ouniso
NA1_3942346956,ouniso
NA1_3942342999,ouniso
NA1_3940655111,KayMock
NA1_3940594201,KayMock
NA1_3940632041,KayMock
NA1_3939935752,KayMock
NA1_3939941010,KayMock
NA1_3942093472,ShredderKill
NA1_3941727410,ShredderKill
NA1_3940801584,ShredderKill
NA1_3940591679,ShredderKill
NA1_3938422294,ShredderKill
NA1_3941815380,NeverTrUstTMates
NA1_3941736635,NeverTrUstTMates
NA1_3941713094,NeverTrUstTMates
NA1_3941668973,NeverTrUstTMates
NA1_3941598231,NeverTrUstTMates
NA1_3942287327,veloxum
NA1_3942263763,veloxum
NA1_3942095016,veloxum
NA1_3941706536,veloxum
NA1_3941503687,veloxum
NA1_3941439186,Crokpot
NA1_3941474950,Crokpot
NA1_3941491031,Crokpot
NA1_3941427630,Crokpot
NA1_3941385157,Crokpot
NA1_3940708378,Strapboss
NA1_3939456827,Strapboss
NA1_3939037930,Strapboss
NA1_3938662271,Strapboss
NA1_3938494250,Strapboss
NA1_3942067945,blobsin
NA1_3942062900,blobsin
NA1_3941243722,blobsin
NA1_3941280918,blobsin
NA1_3941209503,blobsin
NA1_3942050074,longtimenoséé
NA1_3941884513,longtimenoséé
NA1_3941838845,longtimenoséé
NA1_3941824171,longtimenoséé
NA1_3941810000,longtimenoséé
NA1_3942061353,Owèn
NA1_3941887988,Owèn
NA1_3941922099,Owèn
NA1_3941836880,Owèn
NA1_3941778498,Owèn
NA1_3941750170,Meif
NA1_3941608804,Meif
NA1_3941624689,Meif
NA1_3941528832,Meif
NA1_3941535258,Meif
NA1_3941595445,CatMan3
NA1_3940637232,CatMan3
NA1_3940653041,CatMan3
NA1_3940544575,CatMan3
NA1_3940580092,CatMan3
NA1_3941674833,tangynuggets64
NA1_3940751887,tangynuggets64
NA1_3940614759,tangynuggets64
NA1_3940578287,tangynuggets64
NA1_3940565607,tangynuggets64
NA1_3941741124,BUFU2
NA1_3940444897,BUFU2
NA1_3940119940,BUFU2
NA1_3940042637,BUFU2
NA1_3938754657,BUFU2
NA1_3940774749,DrPropper
NA1_3940377373,DrPropper
NA1_3940325650,DrPropper
NA1_3940297404,DrPropper
NA1_3940305068,DrPropper
NA1_3941713862,Brapmaster
NA1_3941658649,Brapmaster
NA1_3941559220,Brapmaster
NA1_3941525451,Brapmaster
NA1_3940546726,Brapmaster
NA1_3939466708,SonicWxve
NA1_3939452588,SonicWxve
NA1_3939348213,SonicWxve
NA1_3939354191,SonicWxve
NA1_3939330624,SonicWxve
NA1_3942249262,BBSenMin
NA1_3942282724,BBSenMin
NA1_3942096997,BBSenMin
NA1_3942063380,BBSenMin
NA1_3941943895,BBSenMin
NA1_3941616303,buztinnuts
NA1_3941603043,buztinnuts
NA1_3941571395,buztinnuts
NA1_3940717533,buztinnuts
NA1_3940720529,buztinnuts
NA1_3942450823,ricofm2
NA1_3942287327,ricofm2
NA1_3942263763,ricofm2
NA1_3941896100,ricofm2
NA1_3941727410,ricofm2
NA1_3941026334,Iebguardian
NA1_3940996039,Iebguardian
NA1_3940785810,Iebguardian
NA1_3940739889,Iebguardian
NA1_3940594054,Iebguardian
NA1_3942263763,Teejay218
NA1_3942093472,Teejay218
NA1_3941727410,Teejay218
NA1_3941706536,Teejay218
NA1_3941608844,Teejay218
NA1_3942543968,KnightedHero
NA1_3942522635,KnightedHero
NA1_3942482776,KnightedHero
NA1_3942283715,KnightedHero
NA1_3942220282,KnightedHero
NA1_3942505463,fod
NA1_3942484118,fod
NA1_3941759466,fod
NA1_3941771914,fod
NA1_3941532582,fod
NA1_3941376027,Pugl
NA1_3941336020,Pugl
NA1_3940382307,Pugl
NA1_3940368540,Pugl
NA1_3940024400,Pugl
NA1_3938433069,RyuInk
NA1_3936067109,RyuInk
NA1_3936080348,RyuInk
NA1_3935940308,RyuInk
NA1_3935857413,RyuInk
NA1_3942030629,Trypk
NA1_3941549240,Trypk
NA1_3941526970,Trypk
NA1_3941562416,Trypk
NA1_3940491024,Trypk
NA1_3942235939,photolol
NA1_3942232066,photolol
NA1_3942026822,photolol
NA1_3941061665,photolol
NA1_3940964696,photolol
NA1_3941111118,GinnAndJuice5
NA1_3941076493,GinnAndJuice5
NA1_3940127173,GinnAndJuice5
NA1_3940132307,GinnAndJuice5
NA1_3937828559,GinnAndJuice5
NA1_3941111118,KiwiTP
NA1_3941076493,KiwiTP
NA1_3940922923,KiwiTP
NA1_3940819672,KiwiTP
NA1_3940850852,KiwiTP
NA1_3942235939,KKSlider
NA1_3942232066,KKSlider
NA1_3942026822,KKSlider
NA1_3940446982,KKSlider
NA1_3940395637,KKSlider
NA1_3938929982,SubwaySamwich
NA1_3937680061,SubwaySamwich
NA1_3937596330,SubwaySamwich
NA1_3937612199,SubwaySamwich
NA1_3937395020,SubwaySamwich
NA1_3942237028,AzoNz
NA1_3941076841,AzoNz
NA1_3941051369,AzoNz
NA1_3940967147,AzoNz
NA1_3939274409,AzoNz
NA1_3941051369,Compts
NA1_3940967147,Compts
NA1_3939274409,Compts
NA1_3939270300,Compts
NA1_3938872893,Compts
NA1_3938796586,thea55et
NA1_3938731576,thea55et
NA1_3938636123,thea55et
NA1_3937623220,thea55et
NA1_3935268733,thea55et
NA1_3938796586,HeresJonny929
NA1_3938731576,HeresJonny929
NA1_3938636123,HeresJonny929
NA1_3937623220,HeresJonny929
NA1_3935268733,HeresJonny929
NA1_3930531398,Stonefeather
NA1_3930476458,Stonefeather
NA1_3930460694,Stonefeather
NA1_3930205959,Stonefeather
NA1_3903126851,Stonefeather
NA1_3941921571,BravoEthelWulf
NA1_3941835456,BravoEthelWulf
NA1_3941369569,BravoEthelWulf
NA1_3941415084,BravoEthelWulf
NA1_3941091915,BravoEthelWulf
NA1_3942547046,BuddySystem13
NA1_3941654608,BuddySystem13
NA1_3941636432,BuddySystem13
NA1_3941581302,BuddySystem13
NA1_3941457678,BuddySystem13
NA1_3939914350,DespairDraco
NA1_3938742912,DespairDraco
NA1_3938687044,DespairDraco
NA1_3936873232,DespairDraco
NA1_3936832017,DespairDraco
NA1_3941840973,DoctorYu64
NA1_3941744687,DoctorYu64
NA1_3940916726,DoctorYu64
NA1_3939493023,DoctorYu64
NA1_3939510769,DoctorYu64
NA1_3930539547,Peng1618
NA1_3930538209,Peng1618
NA1_3930531130,Peng1618
NA1_3930493112,Peng1618
NA1_3930387165,Peng1618
NA1_3938341123,Hrabalus
NA1_3938268913,Hrabalus
NA1_3938211826,Hrabalus
NA1_3938209088,Hrabalus
NA1_3936648292,Hrabalus
NA1_3941724989,YourTeenageSelf
NA1_3941720641,YourTeenageSelf
NA1_3941646426,YourTeenageSelf
NA1_3940112555,YourTeenageSelf
NA1_3940035639,YourTeenageSelf
NA1_3941447159,cindrid
NA1_3940741933,cindrid
NA1_3940666715,cindrid
NA1_3940644726,cindrid
NA1_3939564524,cindrid
NA1_3940967621,lagginglikecrazy
NA1_3940923384,lagginglikecrazy
NA1_3940832030,lagginglikecrazy
NA1_3940033369,lagginglikecrazy
NA1_3939942093,lagginglikecrazy
NA1_3941418397,L1onns
NA1_3941367845,L1onns
NA1_3940438181,L1onns
NA1_3940406542,L1onns
NA1_3939801512,L1onns
NA1_3941873730,MelonSliceee
NA1_3941828051,MelonSliceee
NA1_3941814529,MelonSliceee
NA1_3940756718,MelonSliceee
NA1_3940782374,MelonSliceee
